"","objectid","ctyua19cd","ctyua19nm","Region","cum_covid","crowded_hou","elderly","ethnic","Residents"
"1",1,"E06000001","Hartlepool","North East",3662,0.00939803135974675,0.0201677750249924,0.0231342634850263,92028
"2",2,"E06000002","Middlesbrough","North East",4587,0.017166931804276,0.0178091494957085,0.118176169696269,138412
"3",3,"E06000003","Redcar and Cleveland","North East",3335,0.0077678047143696,0.0230290655954785,0.0146030759670654,135177
"4",4,"E06000004","Stockton-on-Tees","North East",5449,0.00934827372756098,0.0181671102760816,0.0538124315014874,191610
"5",5,"E06000005","Darlington","North East",2741,0.00852796228840797,0.0241559622598613,0.0375980447879959,105564
"6",6,"E06000006","Halton","North West",5882,0.00981017406962785,0.015738075167401,0.0215116186598381,125746
"7",7,"E06000007","Warrington","North West",7304,0.00853887714352831,0.0184049686492474,0.0407263089186463,202228
"8",8,"E06000008","Blackburn with Darwen","North West",6052,0.0262061269680749,0.0158994908094841,0.308361979537457,147489
"9",9,"E06000009","Blackpool","North West",2786,0.00936815448910156,0.0263118994826312,0.0332664625347552,142065
"10",10,"E06000010","Kingston upon Hull, City of","Yorkshire and The Humber",5325,0.0163149667839,0.0181041005280688,0.0588324766191119,256406
"11",11,"E06000011","East Riding of Yorkshire","Yorkshire and The Humber",5226,0.00613149505005873,0.0269885300991385,0.0191214887829576,334179
"12",12,"E06000012","North East Lincolnshire","Yorkshire and The Humber",1673,0.00857876540376146,0.0234375,0.02628182638332,159616
"13",13,"E06000013","North Lincolnshire","Yorkshire and The Humber",2502,0.0101295908550733,0.0224788887163623,0.0400009555319327,167446
"14",14,"E06000014","York","Yorkshire and The Humber",5393,0.0101852738414401,0.0245239862459669,0.0571569949154511,198051
"15",15,"E06000015","Derby","East Midlands",9219,0.0203576771518808,0.021085257605969,0.196987360905641,248752
"16",16,"E06000016","Leicester","East Midlands",12469,0.0485685279187817,0.016347369474198,0.494795945900879,329839
"17",17,"E06000017","Rutland","East Midlands",649,0.00479936008532196,0.0294629238138564,0.0285798389039043,37369
"18",18,"E06000018","Nottingham","East Midlands",9067,0.0255369417510366,0.0168640408270086,0.284552473174562,305680
"19",19,"E06000019","Herefordshire, County of","West Midlands",3453,0.0108658180007406,0.0290172610190923,0.018029507785717,183477
"20",20,"E06000020","Telford and Wrekin","West Midlands",4849,0.0137521018496277,0.016082476701412,0.0733672985639788,166641
"21",21,"E06000021","Stoke-on-Trent","West Midlands",7382,0.0173274459679294,0.0189351346141489,0.11363490329628,249008
"22",22,"E06000022","Bath and North East Somerset","South West",3774,0.00939944229068898,0.0278838287428416,0.0542166621216253,176016
"23",23,"E06000023","Bristol, City of","South West",11383,0.022566717921498,0.0208110519015305,0.160290869010868,428234
"24",24,"E06000024","North Somerset","South West",4676,0.00641526970201866,0.032182103610675,0.0271022777761322,202566
"25",25,"E06000025","South Gloucestershire","South West",6771,0.00851791924714984,0.0210604832418074,0.0502079789319054,262767
"26",26,"E06000026","Plymouth","South West",4149,0.0141710960871673,0.0219124438342486,0.0385164440838742,256384
"27",27,"E06000027","Torbay","South West",1584,0.00986273512963904,0.0387220427767469,0.0248932872120282,130959
"28",28,"E06000030","Swindon","South West",5522,0.0163875056586691,0.0181443515844633,0.101637055594867,209156
"29",29,"E06000031","Peterborough","East of England",7397,0.0248166110533213,0.0182322156934287,0.174736291802582,183631
"30",30,"E06000032","Luton","East of England",10800,0.0599518124183974,0.0137646960398817,0.453354068139428,203201
"31",31,"E06000033","Southend-on-Sea","East of England",10866,0.0177294517796406,0.0291722811503069,0.084274839051469,173658
"32",32,"E06000034","Thurrock","East of England",13395,0.025018844321845,0.0166513426968073,0.141251070035826,157705
"33",33,"E06000035","Medway","South East",17689,0.0164769463981395,0.0166979255470304,0.103612768779009,263925
"34",34,"E06000036","Bracknell Forest","South East",4748,0.0121626923579929,0.016651207985513,0.0940859502672143,113205
"35",35,"E06000037","West Berkshire","South East",3718,0.00948026948989413,0.0200686507781722,0.0518001326208215,153822
"36",36,"E06000038","Reading","South East",6879,0.0324325184112997,0.0169687471900731,0.252482369715732,155698
"37",37,"E06000039","Slough","South East",9257,0.0771973368002206,0.0119967190899041,0.543147533968118,140205
"38",38,"E06000040","Windsor and Maidenhead","South East",4979,0.0150816637817272,0.0241353071389043,0.1387313226342,144560
"39",39,"E06000041","Wokingham","South East",5080,0.00895047404362527,0.0190827827438787,0.115656173079414,154380
"40",40,"E06000042","Milton Keynes","South East",13592,0.0265966079688388,0.0142672845137669,0.199850494934109,248821
"41",41,"E06000043","Brighton and Hove","South East",9035,0.0198946848774066,0.0218898265714108,0.1092186751241,273369
"42",42,"E06000044","Portsmouth","South East",7992,0.019105448504206,0.0211698267790262,0.116426732209738,205056
"43",43,"E06000045","Southampton","South East",7989,0.0277444175300751,0.0197229000092873,0.140804282300892,236882
"44",44,"E06000046","Isle of Wight","South East",5241,0.00956044855529181,0.0366687158716957,0.0269048566159187,138265
"45",45,"E06000047","County Durham","North East",13229,0.00751553821888,0.0210953117632618,0.0184571800437221,513242
"46",46,"E06000049","Cheshire East","North West",8654,0.00706217346855577,0.0261747994607256,0.0329265360268232,370127
"47",47,"E06000050","Cheshire West and Chester","North West",9625,0.00788308988843484,0.0240619159729133,0.0260400233004053,329608
"48",48,"E06000051","Shropshire","West Midlands",6723,0.0079661304502059,0.0274622789738966,0.0204325627431573,306129
"49",49,"E06000052","Cornwall and Isles of Scilly","South West",8654,0.0112413453310168,0.0295579221517898,0.0176827397301282,534476
"50",51,"E06000054","Wiltshire","South West",9069,0.00932057633088561,0.0253980521507237,0.0339928786936203,470981
"51",52,"E06000055","Bedford","East of England",8359,0.0201686203221965,0.0217616317096248,0.194521174251805,157479
"52",53,"E06000056","Central Bedfordshire","East of England",10051,0.00916675447082826,0.0185233960083497,0.0615572703936222,254381
"53",54,"E06000057","Northumberland","North East",6353,0.00711016790102069,0.0250610705380536,0.0157011404052805,316028
"54",55,"E06000058","Bournemouth, Christchurch and Poole","South West",14886,0.0145000268850931,0.0357863009649289,0.0580039483963599,378888
"55",56,"E06000059","Dorset","South West",6496,0.0086557724048432,0.0371597659063461,0.0203394193666764,365153
"56",57,"E08000001","Bolton","North West",6376,0.0207783726186077,0.0192495285166157,0.181154393647078,276786
"57",58,"E08000002","Bury","North West",4940,0.0139029354908914,0.0195882416513563,0.108224359667135,185060
"58",59,"E08000003","Manchester","North West",14343,0.0342149300625948,0.0126667819457115,0.333947492382639,503127
"59",60,"E08000004","Oldham","North West",5112,0.0316265899691203,0.0187107876049925,0.224862937255722,224897
"60",61,"E08000005","Rochdale","North West",5365,0.0251850328947368,0.0179830797500224,0.183397181847812,211699
"61",62,"E08000006","Salford","North West",6221,0.017053574877361,0.0193174968901352,0.0986222550901326,233933
"62",63,"E08000007","Stockport","North West",6667,0.0088129924003312,0.0238284352660842,0.0792727914570647,283275
"63",64,"E08000008","Tameside","North West",4785,0.0151653976177688,0.0190585617625066,0.0907105469533658,219324
"64",65,"E08000009","Trafford","North West",5568,0.0117268532238263,0.0222837168657151,0.144515354535745,226578
"65",66,"E08000010","Wigan","North West",8212,0.00953910225389703,0.016989199273869,0.0272330572064093,317849
"66",67,"E08000011","Knowsley","North West",7707,0.0124749278411037,0.0162036561041311,0.02765725565997,145893
"67",68,"E08000012","Liverpool","North West",19277,0.0132000096845265,0.0165732234169141,0.110939828264528,466415
"68",69,"E08000013","St. Helens","North West",6863,0.00926903982254146,0.0199306363657106,0.0195712688525338,175308
"69",70,"E08000014","Sefton","North West",10576,0.008140422284406,0.0274882208992293,0.0257460097154754,273790
"70",71,"E08000015","Wirral","North West",11838,0.00638057233093617,0.0260614229024057,0.0301047898105903,319783
"71",72,"E08000016","Barnsley","Yorkshire and The Humber",4620,0.00974844640339905,0.020240376090407,0.021347541962019,231221
"72",73,"E08000017","Doncaster","Yorkshire and The Humber",6771,0.0138354139160546,0.0210712892110502,0.0474070938684268,302402
"73",74,"E08000018","Rotherham","Yorkshire and The Humber",5788,0.0139528870748802,0.0213736007462687,0.0642179726368159,257280
"74",75,"E08000019","Sheffield","Yorkshire and The Humber",10705,0.0223548241188546,0.021300963636561,0.163116204509515,552698
"75",76,"E08000021","Newcastle upon Tyne","North East",5175,0.0168156171843657,0.0195662027932343,0.145065440774939,280177
"76",77,"E08000022","North Tyneside","North East",3481,0.00642970589846103,0.0234660185955249,0.0337448518682676,200801
"77",78,"E08000023","South Tyneside","North East",4072,0.00914139383923653,0.0242157067921446,0.040694809184011,148127
